Hypotheses,OP,ON,ON_norm,geo_mean,har_mean,gene name,XAI rank,pathway name,biological_process name,molecular_function name
liver neoplasm_AHNAK2_8,0.09090909090909001,1.3527552219349817,0.7138976949368554,0.25475437277661084,0.16128042553862706,AHNAK2,,,,
liver neoplasm_HDAC1_8,0.75,0.30966684644918463,0.1634223577878478,0.35009537035054583,0.26836822483242373,HDAC1,,,,
liver neoplasm_MCM5_8,0.625,1.1798512664275393,0.6226500447480318,0.6238239158348451,0.623822809297637,MCM5,,,,
liver neoplasm_PFKFB2_8,0.75,0.5757410236230225,0.30383929256405895,0.47736722700981915,0.43247480148248935,PFKFB2,,,,
liver neoplasm_RMDN1_8,0.45454545454545403,0.0,0.0,0.0,0.0,RMDN1,,,,
liver neoplasm_SF3B2_8,0.5714285714285711,0.6893335140473438,0.3637861445599904,0.45593617633548555,0.4445562999330851,SF3B2,,,,
liver neoplasm_BANF1_8,0.6666666666666661,0.04755040483667411,0.02509406273639025,0.12934208579419726,0.04836751913347214,BANF1,,,,
liver neoplasm_PARP9_8,0.30000000000000004,0.9178456741411768,0.4843802488818955,0.38120083245524095,0.37051946392507557,PARP9,,,,
liver neoplasm_LRG1_8,1.0,1.8327712704250179,0.9672194674150734,0.9834731655795563,0.9833366164132158,LRG1,,,,
liver neoplasm_HMGA1_8,0.6666666666666661,0.6374417419291122,0.33640098581086775,0.4735687108265406,0.44716290734723824,HMGA1,,,,
liver neoplasm_SRSF9_8,0.777777777777777,1.3045918898625333,0.6884801684032548,0.7317681158842282,0.7304097847441632,SRSF9,,,,
liver neoplasm_DTX3L_8,0.6666666666666661,0.8070600211166618,0.4259146661631345,0.5328631257418951,0.5197656270403342,DTX3L,,,,
liver neoplasm_EIF2B2_8,0.25,1.276127411871071,0.673458437275417,0.41032256740137296,0.36463927887344716,EIF2B2,,,,
liver neoplasm_TAF10_8,0.833333333333333,0.979118135783735,0.5167159356494988,0.6561986079238883,0.6378976277890561,TAF10,,,,
liver neoplasm_LTN1_8,0.6666666666666661,1.7445046682471987,0.9206379995982135,0.7834275118980749,0.7733344195894756,LTN1,,,,
liver neoplasm_TPR_8,0.5714285714285711,1.7851380514164865,0.9420817006548965,0.7337113876547278,0.7113693382908711,TPR,,,,
liver neoplasm_MARCKSL1_8,0.22222222222222202,1.2477712349050358,0.6584938605027486,0.38253361813128356,0.33230225238502226,MARCKSL1,,,,
liver neoplasm_TSTD1_8,0.555555555555555,0.47749712737652256,0.2519924470041732,0.37416013134914206,0.3467182221922536,TSTD1,,,,
liver neoplasm_HDDC3_8,0.44444444444444403,0.7874740932891306,0.41557846601210224,0.4297691711254113,0.42952702353423017,HDDC3,,,,
liver neoplasm_COL1A2_8,0.8,1.1610698483927548,0.6127384134157208,0.7001362229827682,0.6939582389458681,COL1A2,,,,
liver neoplasm_GEMIN5_8,0.42857142857142805,1.8063120410198166,0.9532559782517053,0.6391699902166774,0.5913014525205147,GEMIN5,,,,
liver neoplasm_MAP3K2_8,0.44444444444444403,1.1801684010040676,0.6228174080961802,0.5261252103175017,0.5187250650300911,MAP3K2,,,,
liver neoplasm_PAFAH1B3_8,0.6666666666666661,1.6100878308482094,0.8497013890245876,0.752640413931552,0.7471373332575608,PAFAH1B3,,,,
liver neoplasm_CIAO2A_8,0.33333333333333304,0.9533502933859522,0.5031173163331674,0.4095189520779907,0.4009938235517452,CIAO2A,,,,
liver neoplasm_PAPSS1_8,0.33333333333333304,0.4507076517155034,0.2378546749868439,0.28157572988857055,0.27761399226658284,PAPSS1,,,,
liver neoplasm_CD82_8,0.4,1.4062714250320645,0.7421401244712478,0.5448449777583521,0.5198242202127837,CD82,,,,
liver neoplasm_SCO2_8,0.818181818181818,1.8948866644745694,1.0,0.9045340337332908,0.8999999999999999,SCO2,,,,
liver neoplasm_CHMP3_8,0.45454545454545403,0.607569229128915,0.32063618395741206,0.38176395846208644,0.37602469599801497,CHMP3,,,,
liver neoplasm_SLC44A2_8,0.33333333333333304,0.7198307402931823,0.3798806302184744,0.35584670398851714,0.3550880470956827,SLC44A2,,,,
liver neoplasm_C4A_8,0.28571428571428503,0.34654049199830644,0.18288190977078736,0.22858690736834608,0.2230149315067983,C4A,,,,
