Hypotheses,OP,ON,ON_norm,geo_mean,har_mean,gene name,XAI rank,pathway name,biological_process name,molecular_function name
liver neoplasm_MCM5_8,0.75,1.386746610105595,0.3674844505258065,0.5249888931152304,0.4932745825047881,MCM5,2,,Double-Strand Break Repair Via Break-Induced Replication (GO:0000727),
liver neoplasm_PFKFB2_8,0.833333333333333,0.2954099583244787,0.06820546967108311,0.2384069868786761,0.12609083758381684,PFKFB2,7,,Protein Geranylgeranylation (GO:0018344),
liver neoplasm_SF3B2_8,0.6923076923076921,1.2129769417329082,0.31983131877295534,0.4705546538155059,0.43753215675586216,SF3B2,8,Integration of Viral DNA Into Host Genomic DNA,,
liver neoplasm_MAP3K2_8,0.6666666666666661,0.5110067754408796,0.1273289267608939,0.291351936966153,0.2138197034759079,MAP3K2,9,,Protein Geranylgeranylation (GO:0018344),
liver neoplasm_AHNAK2_8,0.28571428571428503,0.8155334701626076,0.2108397652273137,0.24543824665705524,0.24263192620363694,AHNAK2,10,,Protein Geranylgeranylation (GO:0018344),
liver neoplasm_PAPSS1_8,0.6666666666666661,0.2985341280681904,0.06906221569476813,0.21457277816592993,0.12515881388825792,PAPSS1,15,,Protein Geranylgeranylation (GO:0018344),
liver neoplasm_CD82_8,0.75,0.6911710676177556,0.17673566634130564,0.3640765712813435,0.2860616129716583,CD82,16,16P11 2 Distal Deletion Syndrome WP4950,,
liver neoplasm_HMGA1_8,0.769230769230769,0.45549091829549293,0.11210472520894232,0.2936569495293423,0.19569030080128616,HMGA1,17,Integration of Viral DNA Into Host Genomic DNA,,
liver neoplasm_DTX3L_8,0.25,0.9050152258721702,0.23537848901171415,0.2425791051449579,0.24246901576846921,DTX3L,19,,Positive Regulation Of Chromatin Binding (GO:0035563),
liver neoplasm_TAF10_8,0.33333333333333304,3.6932480556506135,1.0,0.5773502691896255,0.49999999999999967,TAF10,23,,,RNA Polymerase Binding (GO:0070063)
liver neoplasm_SLC44A2_8,0.42857142857142805,0.7425006473650388,0.19081185840302814,0.28596592584459224,0.2640578538811214,SLC44A2,26,,Choline Transport (GO:0015871),
liver neoplasm_C4A_8,0.625,0.45139994918121573,0.11098285226054383,0.2633709981429996,0.1884942901856751,C4A,27,,Protein Geranylgeranylation (GO:0018344),
liver neoplasm_MARCKSL1_8,0.6666666666666661,1.7252209926475377,0.4603048172634768,0.5539583722407767,0.5445920904857123,MARCKSL1,28,,,1-Alkyl-2-Acetylglycerophosphocholine Esterase Activity (GO:0003847)
liver neoplasm_HDDC3_8,0.25,0.33305889337221634,0.07852999683963684,0.14011602053266148,0.11951723981839192,HDDC3,30,,Protein Geranylgeranylation (GO:0018344),
liver neoplasm_HDAC1_8,1.0,0.8793511902865246,0.22834059983044636,0.47784997627963355,0.3717871083345536,HDAC1,1,Integration of Viral DNA Into Host Genomic DNA,,
liver neoplasm_PAFAH1B3_8,0.2,0.5292351683135363,0.13232772784820715,0.16268234559915046,0.1592737731576207,PAFAH1B3,3,,,1-Alkyl-2-Acetylglycerophosphocholine Esterase Activity (GO:0003847)
liver neoplasm_RMDN1_8,0.636363636363636,0.24652644647836477,0.05480006668931008,0.1867425225045949,0.10091030404907628,RMDN1,4,,Positive Regulation Of Chromatin Binding (GO:0035563),
liver neoplasm_COL1A2_8,0.45454545454545403,1.1577207402379308,0.30467832300182385,0.3721426431074658,0.3648203623611794,COL1A2,5,,Regulation Of mRNA Export From Nucleus (GO:0010793),
liver neoplasm_GEMIN5_8,0.375,0.5865520124094064,0.1480458169079169,0.235620842330361,0.21228419976157745,GEMIN5,6,,Double-Strand Break Repair Via Break-Induced Replication (GO:0000727),
liver neoplasm_CIAO2A_8,0.44444444444444403,0.7625256730106406,0.19630335294508755,0.2953742281280834,0.2723253517146978,CIAO2A,11,,Regulation Of mRNA Export From Nucleus (GO:0010793),
liver neoplasm_BANF1_8,0.75,0.04669510139929166,0.0,0.0,0.0,BANF1,12,Integration of Viral DNA Into Host Genomic DNA,,
liver neoplasm_PARP9_8,0.33333333333333304,0.35252861706517485,0.08386921004652577,0.16720168464714075,0.13401837449196885,PARP9,13,,Positive Regulation Of Chromatin Binding (GO:0035563),
liver neoplasm_LRG1_8,0.777777777777777,1.3623390828858208,0.3607911356265072,0.5297313731595528,0.4929263822432576,LRG1,14,,Positive R egulation Of Epithelial Cell Proliferation Involved In Wound Healing (GO:0060054),
liver neoplasm_SRSF9_8,0.583333333333333,1.4295295922989704,0.3792168955855984,0.4703295182723126,0.4596328567844464,SRSF9,18,,Double-Strand Break Repair Via Break-Induced Replication (GO:0000727),
liver neoplasm_SCO2_8,0.6923076923076921,1.1148814058473382,0.2929304243896157,0.4503309739690217,0.4116730416311996,SCO2,20,,Mitochondrial Cytochrome C Oxidase Assembly (GO:0033617),
liver neoplasm_CHMP3_8,0.625,1.1365954186375822,0.29888509255504814,0.4322073377985444,0.404386182550672,CHMP3,21,,Multivesicular Body-Lysosome Fusion (GO:0061763),
liver neoplasm_EIF2B2_8,0.6000000000000001,0.8068571240168121,0.2084604370632512,0.35366122523956556,0.30941838710696284,EIF2B2,22,,Protein Geranylgeranylation (GO:0018344),
liver neoplasm_LTN1_8,0.8888888888888881,1.5912340251957744,0.42356135867869055,0.6135951315746965,0.5737344881300469,LTN1,24,,Protein Geranylgeranylation (GO:0018344),
liver neoplasm_TPR_8,0.6666666666666661,0.6129815946858701,0.15529364317234862,0.3217593750743439,0.25190777269649195,TPR,25,,Regulation Of mRNA Export From Nucleus (GO:0010793),
liver neoplasm_TSTD1_8,0.5714285714285711,0.48847688321933613,0.12115051868504875,0.26311379253096523,0.19991613610128076,TSTD1,29,,,Sulfurtransferase Activity (GO:0016783)
